,input_text
263,"Title: Godzilla: King of the Monsters | Release Date: 2019-05-29 | Overview: Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance. | Directors: Michael Dougherty | Cast: Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe, Zhang Ziyi | Genres: Science Fiction, Action | Production Companies: Legendary Pictures, Huahua Media, TOHO | Production Countries: CN, JP, US"
264,"Title: One Piece Film: GOLD | Release Date: 2016-07-23 | Overview: The glittering Gran Tesoro, a city of entertainment beyond the laws of the government, is a sanctuary for the world’s most infamous pirates, Marines, and filthy rich millionaires. Drawn by dreams of hitting the jackpot, Captain Luffy and his crew sail straight for the gold. But behind the gilded curtains lies a powerful king whose deep pockets and deeper ambitions spell disaster for the Straw Hats and the New World alike. | Directors: Hiroaki Miyamoto | Cast: Kazuya Nakai, Mayumi Tanaka, Akemi Okamura, Kappei Yamaguchi, Hiroaki Hirata | Genres: Action, Animation, Adventure, Comedy | Production Companies: Fuji Television Network, Funimation Global Group, Toei Animation, Toei Company, Shueisha, Bandai, Bandai Namco Entertainment | Production Countries: JP"
265,"Title: After the Storm | Release Date: 2016-05-21 | Overview: Ryota is an unpopular writer although he won a literary award 15 years ago. Now, Ryota works as a private detective. He is divorced from his ex-wife Kyoko and he has an 11-year-old son Shingo. His mother Yoshiko lives alone at her apartment. One day, Ryota, his ex-wife Kyoko, and son Shingo gather at Yoshiko's apartment. A typhoon passes and the family must stay there all night long. | Directors: Hirokazu Kore-eda | Cast: Hiroshi Abe, Kirin Kiki, Yoko Maki, Taiyo Yoshizawa, Satomi Kobayashi | Genres: Drama | Production Companies: Fuji Television Network, Bandai Visual, BUN-BUKU, AOI Pro., GAGA Corporation | Production Countries: JP"
266,"Title: Dunkirk | Release Date: 2017-07-19 | Overview: The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II. | Directors: Christopher Nolan | Cast: Fionn Whitehead, Tom Hardy, Mark Rylance, Kenneth Branagh, Cillian Murphy | Genres: War, Action, Drama | Production Companies: Warner Bros. Pictures, Syncopy | Production Countries: GB, US"
267,"Title: Detective Conan: The Darkest Nightmare | Release Date: 2016-04-16 | Overview: On a dark night, the Japanese police is raided by a spy. Different countries' intelligence agencies - such as England's MI6, Germany's BDN, and America's CIA - as well as the FBI's secret files are going to be taken, but public safety officers lead by Tooru Amuro arrive just in time. The spy steals a car and escapes. The spy and Amuro are then locked in a dead heat on the highway, and just as it is about to cause an accident with multiple cars, the spy's car is hit by FBI agent Shuichi Akai's rifle bullet and falls of the roadway. The next day, Conan and his friends go to a newly-remodeled aquarium in Tokyo. Under the main attraction, a Ferris wheel, Conan finds an attractive woman alone and injured. Her left and right eyes are different colors. | Directors: Kobun Shizuno | Cast: Minami Takayama, Kappei Yamaguchi, Wakana Yamazaki, Rikiya Koyama, Megumi Hayashibara | Genres: Animation, Mystery, Action, Crime | Production Companies: TMS Entertainment, TOHO, V1 studio, Shogakukan, Yomiuri Telecasting Corporation, Nippon Television Network Corporation, Shogakukan-Shueisha Productions | Production Countries: JP"
268,"Title: Duck Duck Goose | Release Date: 2018-03-09 | Overview: After he’s grounded by an injury, a high-flying bachelor is saddled with two wide-eyed orphans as they come face-to-face with the dangers and beauty of the outside world. | Directors: Christopher Jenkins | Cast: Jim Gaffigan, Zendaya, Lance Lim, Greg Proops, Natasha Leggero | Genres: Animation, Family, Adventure, Comedy | Production Companies: Original Force Animation, GFM Animation, Wanda Pictures | Production Countries: CN"
269,"Title: The Favourite | Release Date: 2018-11-23 | Overview: England, early 18th century. The close relationship between Queen Anne and Sarah Churchill is threatened by the arrival of Sarah's cousin, Abigail Hill, resulting in a bitter rivalry between the two cousins to be the Queen's favourite. | Directors: Yorgos Lanthimos | Cast: Emma Stone, Olivia Colman, Rachel Weisz, Nicholas Hoult, Joe Alwyn | Genres: History, Comedy, Drama | Production Companies: Waypoint Entertainment, Element Pictures, Scarlet Films, Film4 Productions, Fox Searchlight Pictures, Fís Éireann/Screen Ireland | Production Countries: IE, GB, US"
270,"Title: Robin Hood | Release Date: 2018-11-03 | Overview: A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown. | Directors: Otto Bathurst | Cast: Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson, Jamie Dornan | Genres: Adventure, Action, Thriller, Fantasy | Production Companies: Appian Way, Safehouse Pictures, Summit Entertainment, Thunder Road, TIK Films, EMG Management, Lionsgate | Production Countries: US"
271,"Title: Then Came You | Release Date: 2018-12-05 | Overview: An American hypochondriac who is working as a baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list. | Directors: Peter Hutchings | Cast: Maisie Williams, Asa Butterfield, Nina Dobrev, Tyler Hoechlin, David Koechner | Genres: Comedy, Drama | Production Companies: BCDF Pictures, Voltage Pictures | Production Countries: US"
272,"Title: Paris Can Wait | Release Date: 2016-09-12 | Overview: Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with Jacques, a business associate of her husband. What should be a seven-hour drive turns into a carefree two-day adventure replete with diversions involving picturesque sights, fine food and wine, humor, wisdom and romance - reawakening Anne's senses and giving her a new lust for life. | Directors: Eleanor Coppola | Cast: Diane Lane, Arnaud Viard, Alec Baldwin, Elise Tielrooy, Élodie Navarre | Genres: Comedy, Drama, Romance | Production Companies: American Zoetrope, Elzévir Films, Lifetime, Corner Piece Capital, Protagonist Pictures, TFC | Production Countries: FR, JP, GB, US"
273,"Title: Miss Sloane | Release Date: 2016-11-25 | Overview: An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation. | Directors: John Madden | Cast: Jessica Chastain, Mark Strong, Gugu Mbatha-Raw, Alison Pill, Michael Stuhlbarg | Genres: Drama, Crime | Production Companies: FilmNation Entertainment, Transfilm, Archery Pictures, Ciné+, France 2 Cinéma, Canal+, France Télévisions Distribution | Production Countries: FR, US"
274,"Title: The Edge of Seventeen | Release Date: 2016-11-18 | Overview: Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis. | Directors: Kelly Fremon Craig | Cast: Hailee Steinfeld, Woody Harrelson, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick | Genres: Comedy, Drama | Production Companies: Tang Media Productions, Gracie Films, STXfilms, Huayi Brothers Pictures | Production Countries: US, CN"
275,"Title: Moonlight | Release Date: 2016-10-21 | Overview: The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality. | Directors: Barry Jenkins | Cast: Trevante Rhodes, André Holland, Janelle Monáe, Ashton Sanders, Jharrel Jerome | Genres: Drama | Production Companies: A24, Plan B Entertainment, PASTEL | Production Countries: US"
276,"Title: A Silent Voice: The Movie | Release Date: 2016-09-17 | Overview: Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...? | Directors: Naoko Yamada | Cast: Miyu Irino, Saori Hayami, Aoi Yuuki, Kensho Ono, Yuki Kaneko | Genres: Animation, Drama, Romance | Production Companies: Kyoto Animation, ABC Animation, Kodansha, Pony Canyon, Quaras, Shochiku | Production Countries: JP"
277,"Title: The Emoji Movie | Release Date: 2017-07-23 | Overview: Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji. | Directors: Tony Leondis | Cast: T.J. Miller, James Corden, Anna Faris, Maya Rudolph, Steven Wright | Genres: Animation, Family, Comedy | Production Companies: Columbia Pictures, Sony Pictures Animation, LStar Capital | Production Countries: US"
278,"Title: A Violent Prosecutor | Release Date: 2016-02-03 | Overview: After a prosecution lawyer is framed and convicted for murder, he tries to catch the real murderer from jail with the help of a con artist. | Directors: Lee Il-hyung | Cast: Hwang Jung-min, Gang Dong-won, Lee Sung-min, Park Sung-woong, Kim Eung-soo | Genres: Crime, Comedy, Action | Production Companies: Sanai Pictures, Moonlight Film | Production Countries: KR"
279,"Title: The Foreigner | Release Date: 2017-09-28 | Overview: Quan is a humble London businessman whose long-buried past erupts in a revenge-fueled vendetta when the only person left for him to love – his teenage daughter – dies in an Irish Republican Army car bombing. His relentless search to find the terrorists leads to a cat-and-mouse conflict with a British government official whose own past may hold the clues to the identities of the elusive killers. | Directors: Martin Campbell | Cast: Pierce Brosnan, Jackie Chan, Rory Fleck-Byrne, Ray Fearon, Charlie Murphy | Genres: Action, Thriller, Crime | Production Companies: Sparkle Roll Media, STXfilms, Arthur Sarkissian Productions, The Entertainer Production Company, Orange Corp, Wanda Pictures, Huayi Brothers Pictures, Prosperity Pictures | Production Countries: CN, IN, GB, US"
280,"Title: Space Jam: A New Legacy | Release Date: 2021-07-08 | Overview: When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life. | Directors: Malcolm D. Lee | Cast: LeBron James, Don Cheadle, Cedric Joe, Jeff Bergman, Gabriel Iglesias | Genres: Family, Comedy, Adventure, Animation, Science Fiction | Production Companies: Warner Animation Group, Proximity Media, Warner Bros. Pictures, The SpringHill Company | Production Countries: US"
281,"Title: Hidden Figures | Release Date: 2016-12-10 | Overview: The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big. | Directors: Theodore Melfi | Cast: Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst | Genres: Drama, History | Production Companies: Fox 2000 Pictures, Levantine Films, Chernin Entertainment | Production Countries: US"
282,"Title: Split | Release Date: 2017-01-19 | Overview: Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart. | Directors: M. Night Shyamalan | Cast: James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson, Jessica Sula | Genres: Horror, Thriller | Production Companies: Blinding Edge Pictures, Blumhouse Productions | Production Countries: US"
283,"Title: A Dog's Purpose | Release Date: 2017-01-19 | Overview: A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners. | Directors: Lasse Hallström | Cast: Josh Gad, K.J. Apa, Britt Robertson, Dennis Quaid, Peggy Lipton | Genres: Adventure, Comedy, Fantasy, Family, Drama | Production Companies: Amblin Entertainment, Pariah, Walden Media, Reliance Entertainment, Universal Pictures, DreamWorks Pictures, Amblin Partners | Production Countries: CA, IN, US"
284,"Title: Peter Rabbit | Release Date: 2018-02-07 | Overview: Peter Rabbit's feud with Mr. McGregor escalates to greater heights than ever before as they rival for the affections of the warm-hearted animal lover who lives next door. | Directors: Will Gluck | Cast: James Corden, Rose Byrne, Domhnall Gleeson, Margot Robbie, Elizabeth Debicki | Genres: Animation, Adventure, Family | Production Companies: Columbia Pictures, Olive Bridge Entertainment, Screen Australia, Screen NSW, Sony Pictures Animation, Animal Logic, MRC | Production Countries: AU, US"
285,"Title: A Bride for Rip Van Winkle | Release Date: 2016-03-26 | Overview: A woman hires actors and strangers to pretend to be her friends and family at her wedding. | Directors: Shunji Iwai | Cast: Haru Kuroki, Go Ayano, Cocco, Hideko Hara, Go Jibiki | Genres: Drama, Romance | Production Companies: Rockwell Eyes, Toei Company, Pony Canyon, Hikari TV, Kinoshita Group, BS Fuji | Production Countries: JP"
286,"Title: Pokémon the Movie: Volcanion and the Mechanical Marvel | Release Date: 2016-07-16 | Overview: Ash meets the Mythical Pokémon Volcanion when it crashes down from the sky, creating a cloud of dust—and a mysterious force binds the two of them together! Volcanion despises humans and tries to get away, but it’s forced to drag Ash along as it continues its rescue mission. They arrive in a city of cogs and gears, where a corrupt official has stolen the ultimate invention: the Artificial Pokémon Magearna, created 500 years ago. He plans to use its mysterious power to take control of this mechanical kingdom! Can Ash and Volcanion work together to rescue Magearna? One of the greatest battles in Pokémon history is about to unfold! | Directors: Kunihiko Yuyama | Cast: Rica Matsumoto, Ikue Otani, Mayuki Makiguchi, Yuki Kaji, Mariya Ise | Genres: Family, Adventure, Animation, Fantasy, Science Fiction | Production Companies: OLM, The Pokémon Company, Pikachu Project, TV Tokyo, Shogakukan, Shogakukan-Shueisha Productions, jeki, TakaraTomy | Production Countries: JP"
287,"Title: Vanishing Time: A Boy Who Returned | Release Date: 2016-11-10 | Overview: Days after her friends disappear during a trip to a mysterious cave, a girl is approached by a grown man claiming to be one of her missing pals. | Directors: Um Tae-hwa | Cast: Gang Dong-won, Shin Eun-soo, Lee Hyo-je, Kim Hee-won, Kwon Hae-hyo | Genres: Fantasy, Drama | Production Companies: Barunson E&A | Production Countries: KR"
288,"Title: Master | Release Date: 2016-12-21 | Overview: Korea’s biggest network marketing scam reveals a far greater network of corruption and conspiracy lurking underneath. | Directors: Cho Ui-seok | Cast: Lee Byung-hun, Gang Dong-won, Kim Woo-bin, Uhm Ji-won, Oh Dal-su | Genres: Crime, Action | Production Companies: Zip Cinema | Production Countries: KR"
289,"Title: Death Note: Light Up the NEW World | Release Date: 2016-10-29 | Overview: 10 years has passed since the confrontation between Kira and L. Again, Shinigami sends death notes to the ground and due to this, the world soon falls into chaos. Tsukuru is a member of the Death Note special task force team with 6 other investigators including Matsuda who experienced the Kira case of 10 years ago.  Mass murders caused by the death note takes place on Wall Street in the U.S., Shibuya in Japan and other places. World famous private investigator Ryuzaki, who is the rightful successor of L, also investigates the mass murders. They discover that 6 death notes exists in the world.  A computer virus called Kira spreads in the world. A message in the Kira virus says to turn in 6 death notes.  A person who has 6 death notes overwhelm the world. The confrontation begins between the person who wants Kira’s revival and the people who want to stop it. | Directors: Shinsuke Sato | Cast: Masahiro Higashide, Sosuke Ikematsu, Masaki Suda, Erika Toda, Mina Fujii | Genres: Crime, Horror, Science Fiction, Thriller | Production Companies: Nippon Television Network Corporation, dentsu, Nikkatsu Corporation, Shochiku, VAP, Warner Bros. Japan, Django Film, Horipro, Yomiuri Telecasting Corporation, Hulu Japan, D.N. Dream Partners, Sapporo Television Broadcasting Company, Miyagi Television Broadcasting, Shizuoka Daiichi Television, Chukyo TV Broadcasting Company, Hiroshima Telecasting, Fukuoka Broadcasting System | Production Countries: JP"
290,"Title: Deadpool 2 | Release Date: 2018-05-15 | Overview: Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life. | Directors: David Leitch | Cast: Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz | Genres: Action, Comedy, Adventure | Production Companies: Maximum Effort, Genre Films, 20th Century Fox, Marvel Entertainment | Production Countries: US"
291,"Title: Wonderstruck | Release Date: 2017-10-13 | Overview: The story of a young boy in the Midwest is told simultaneously with a tale about a young girl in New York from fifty years ago as they both seek the same mysterious connection. | Directors: Todd Haynes | Cast: Oakes Fegley, Millicent Simmonds, Julianne Moore, Michelle Williams, Cory Michael Smith | Genres: Drama | Production Companies: Amazon Studios, Cinetic Media, FilmNation Entertainment, Killer Films, Picrow | Production Countries: US"
292,"Title: A Man and a Woman | Release Date: 2016-02-25 | Overview: Two strangers have dropped their kids off at a pickup area for a children's camp in Helsinki, Finland. A spark of mutual interest is ignited between the man and woman. | Directors: Lee Yoon-ki | Cast: Jeon Do-yeon, Gong Yoo, Park Byung-eun, Lee Ru-ahn, Park Min-ji | Genres: Drama, Romance | Production Companies: Bom Film Productions, Showbox | Production Countries: KR"
293,"Title: Doraemon: Nobita and the Birth of Japan | Release Date: 2016-03-05 | Overview: Doraemon and his friends travel to ancient Japan where they meet Kukuru. When Kukuru tells them that his tribe has been enslaved by Gigazombie, Doraemon decides to help him. | Directors: Shinnosuke Yakuwa | Cast: Wasabi Mizuta, Megumi Oohara, Yumi Kakazu, Tomokazu Seki, Subaru Kimura | Genres: Animation, Adventure, Fantasy, Science Fiction, Family | Production Companies: TOHO, TV Asahi, Fujiko Productions, Marbean Animation, Shin-Ei Animation, Next Entertainment World, Zoom (KR), Daewon Media | Production Countries: JP"
294,"Title: Hostiles | Release Date: 2017-12-22 | Overview: A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation. | Directors: Scott Cooper | Cast: Christian Bale, Rosamund Pike, Wes Studi, Jesse Plemons, Adam Beach | Genres: Drama, Western, History | Production Companies: Waypoint Entertainment, Le Grisbi Productions, Bloom, Entertainment Studios | Production Countries: US"
295,"Title: F9 | Release Date: 2021-05-19 | Overview: Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother. | Directors: Justin Lin | Cast: Vin Diesel, Michelle Rodriguez, Tyrese Gibson, Ludacris, John Cena | Genres: Action, Adventure, Crime | Production Companies: Original Film, One Race, Perfect Storm Entertainment, Universal Pictures, Roth-Kirschenbaum Films | Production Countries: US"
296,"Title: Billionaire Boys Club | Release Date: 2018-07-19 | Overview: A group of wealthy boys in Los Angeles during the early 1980s establishes a get rich quick scam that turns deadly. | Directors: James Cox | Cast: Ansel Elgort, Kevin Spacey, Taron Egerton, Emma Roberts, Jeremy Irvine | Genres: Drama | Production Companies: Armory Films, Oriah Entertainment | Production Countries: US"
297,"Title: Fast X | Release Date: 2023-05-17 | Overview: Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever. | Directors: Louis Leterrier | Cast: Vin Diesel, Michelle Rodriguez, Tyrese Gibson, Ludacris, John Cena | Genres: Action, Crime, Thriller, Adventure, Mystery | Production Companies: Universal Pictures, Original Film, One Race, Perfect Storm Entertainment | Production Countries: US"
298,"Title: Time Renegades | Release Date: 2016-04-13 | Overview: A high-school teacher in 1983 and a detective in 2015 join forces through their dreams to change the perilous fate of the woman they both love—30 years apart. | Directors: Kwak Jae-yong | Cast: Lim Soo-jung, Cho Jung-seok, Lee Jin-uk, Jung Jin-young, Lee Ki-woo | Genres: Drama, Romance, Thriller, Fantasy | Production Companies: CJ Entertainment, Sang Sang Film | Production Countries: KR"
299,"Title: Okja | Release Date: 2017-06-28 | Overview: A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja. | Directors: Bong Joon Ho | Cast: Ahn Seo-hyun, Tilda Swinton, Paul Dano, Steven Yeun, Jake Gyllenhaal | Genres: Adventure, Drama, Science Fiction | Production Companies: Kate Street Picture Company, Plan B Entertainment, Lewis Pictures | Production Countries: KR, US"
300,"Title: Patriots Day | Release Date: 2016-12-12 | Overview: In the aftermath of an unspeakable act of terror, Police Sergeant Tommy Saunders joins courageous survivors, first responders and investigators in a race against the clock to hunt down the Boston Marathon bombers before they strike again. | Directors: Peter Berg | Cast: Mark Wahlberg, John Goodman, J.K. Simmons, Kevin Bacon, Michelle Monaghan | Genres: Action, Crime, Drama, History, Thriller | Production Companies: TIK Films, CBS Films, Closest to the Hole Productions, Bluegrass Films, Hutch Parker Entertainment, Leverage Entertainment, Lionsgate | Production Countries: HK, US"
301,"Title: Countdown | Release Date: 2016-04-05 | Overview: A madman captures a young boy and rigs him with explosives. Ray Fitzpatrick, still haunted by the loss of his own son, will defy orders to stop the clock and save a life | Directors: John Stockwell | Cast: Nick Nemeth, Katharine Isabelle, Josh Blacker, Glenn Jacobs, Alexandr Kalugin | Genres: Action, Crime, Mystery, Thriller | Production Companies: WWE Studios | Production Countries: US"
302,"Title: Seoul Station | Release Date: 2016-08-17 | Overview: In this animated prequel to ""Train to Busan,"" a group of survivors deals with a zombie pandemic that unleashes itself in downtown Seoul. | Directors: Yeon Sang-ho | Cast: Ryu Seung-ryong, Shim Eun-kyung, Lee Joon, Kim Jae-rok, Jang Hyuk-jin | Genres: Animation, Horror, Science Fiction, Action, Thriller | Production Companies: Studio Dadashow, Next Entertainment World, Myung Films, Finecut | Production Countries: KR"
303,"Title: Missing You | Release Date: 2016-03-10 | Overview: A girl who lost her father to a serial killer, a detective and a killer are intertwined in a chaotic relationship and are met with an unprecedented series of events. | Directors: Mo Hong-jin | Cast: Shim Eun-kyung, Kim Seung-o, Yoon Je-moon, Oh Tae-kyung, Jung Hae-kyun | Genres: Crime, Thriller | Production Companies: Soojak Film, 모티브랩, Next Entertainment World, DCG Plus | Production Countries: KR"
304,"Title: Tunnel | Release Date: 2016-08-10 | Overview: A man is on his way home when the poorly constructed tunnel he is driving through collapses, leaving him trapped leaving himself for the unexpected whilst emergency services struggle to help. | Directors: Kim Seong-hun | Cast: Ha Jung-woo, Bae Doona, Oh Dal-su, Shin Jung-keun, Nam Ji-hyun | Genres: Thriller, Drama | Production Companies: BA Entertainment, Showbox | Production Countries: KR"
305,"Title: Fate/stay night: Heaven's Feel II. Lost Butterfly | Release Date: 2019-01-12 | Overview: The Fifth Holy Grail War continues, and the ensuing chaos results in higher stakes for all participants. Shirou Emiya continues to participate in the war, aspiring to be a hero of justice who saves everyone. He sets out in search of the truth behind a mysterious dark shadow and its murder spree, determined to defeat it.  Meanwhile, Shinji Matou sets his own plans into motion, threatening Shirou through his sister Sakura Matou. Shirou and Rin Tohsaka battle Shinji, hoping to relieve Sakura from the abuses of her brother. But the ugly truth of the Matou siblings begins to surface, and many dark secrets are exposed. | Directors: Tomonori Sudo | Cast: Noriaki Sugiyama, Noriko Shitaya, Hiroshi Kamiya, Ayako Kawasumi, Kana Ueda | Genres: Animation, Action, Fantasy, Drama, Romance | Production Companies: ufotable, Aniplex, TYPE-MOON, KADOKAWA | Production Countries: JP"
306,"Title: Fate/stay night: Heaven's Feel III. Spring Song | Release Date: 2020-08-15 | Overview: As Sakura drowns in the murky darkness of the sins she has committed, Shirou's vow to protect her at all costs leads him into a raging battle to put an end to the Holy Grail War.  Will Shirou's wish reach Sakura even as he challenges fate itself in a desperate battle against the rising tide? | Directors: Tomonori Sudo | Cast: Noriaki Sugiyama, Noriko Shitaya, Ayako Kawasumi, Kana Ueda, Mai Kadowaki | Genres: Animation, Romance, Fantasy, Action, Drama | Production Companies: ufotable, Aniplex, TYPE-MOON, KADOKAWA | Production Countries: JP"
307,"Title: If Cats Disappeared from the World | Release Date: 2016-05-14 | Overview: A postman learns that he doesn't have much time left to live due to a terminal illness. A devil then appears in front of him and offers to extend his life if he picks something in the world that will disappear. The man thinks about his relationships with ex-friends, ex-lovers, relatives and colleagues who will be sincerely sad when he dies. | Directors: Akira Nagai | Cast: Takeru Satoh, Aoi Miyazaki, Gaku Hamada, Eita Okuno, Anna Ishii | Genres: Drama, Fantasy | Production Companies: TOHO, Hakuhodo DY Media Partners, Shogakukan, AMUSE, STRIPE INTERNATIONAL, MAGAZINE HOUSE, Lawson Entertainment, Sony Music Entertainment, KDDI, GYAO, Nippan Group Holdings, Toho Pictures | Production Countries: JP"
308,"Title: Lady Bird | Release Date: 2017-09-01 | Overview: Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college. | Directors: Greta Gerwig | Cast: Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet | Genres: Drama, Comedy | Production Companies: IAC Films, Scott Rudin Productions, Entertainment 360 | Production Countries: US"
309,"Title: Murder on the Orient Express | Release Date: 2017-11-03 | Overview: Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train. | Directors: Kenneth Branagh | Cast: Kenneth Branagh, Tom Bateman, Michelle Pfeiffer, Johnny Depp, Josh Gad | Genres: Mystery, Drama, Crime | Production Companies: The Mark Gordon Company, Genre Films, 20th Century Fox, Scott Free Productions | Production Countries: US"
310,"Title: The Florida Project | Release Date: 2017-10-06 | Overview: The story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times. | Directors: Sean Baker | Cast: Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera, Valeria Cotto | Genres: Drama | Production Companies: Cre Film, Freestyle Picture Company, June Pictures | Production Countries: US"
311,"Title: Phantom Detective | Release Date: 2016-05-04 | Overview: Hong Gil-dong is an infallible private detective with an exceptional memory and quirky personality. While chasing the only target he failed to find, he gets entangled in a much bigger conspiracy than he bargained for. | Directors: Jo Sung-hee | Cast: Lee Je-hoon, Kim Sung-kyun, Park Keun-hyong, Roh Jeong-eui, Go Ara | Genres: Action, Drama | Production Companies: Bidangil Pictures, CJ Entertainment | Production Countries: KR"
312,"Title: Wind River | Release Date: 2017-08-03 | Overview: An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation. | Directors: Taylor Sheridan | Cast: Jeremy Renner, Elizabeth Olsen, Gil Birmingham, Graham Greene, Jon Bernthal | Genres: Crime, Mystery, Thriller | Production Companies: Savvy Media Holdings, Thunder Road, Film 44, Acacia Filmed Entertainment, Riverstone Pictures, Voltage Pictures, Synergics Films, Star Thrower Entertainment, Tunica-Biloxi Tribe of Louisiana, The Fyzz, Wild Bunch | Production Countries: FR, GB, US"
313,"Title: Only the Brave | Release Date: 2017-09-22 | Overview: Members of the Granite Mountain Hotshots battle deadly wildfires to save an Arizona town. | Directors: Joseph Kosinski | Cast: Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly, James Badge Dale | Genres: Drama, Action | Production Companies: di Bonaventura Pictures, Black Label Media, Condé Nast Entertainment | Production Countries: US"
314,"Title: Life | Release Date: 2017-03-22 | Overview: The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected. | Directors: Daniel Espinosa | Cast: Jake Gyllenhaal, Ryan Reynolds, Rebecca Ferguson, Hiroyuki Sanada, Olga Dihovichnaya | Genres: Horror, Science Fiction, Mystery, Thriller | Production Companies: Columbia Pictures, Skydance Media | Production Countries: US"
315,"Title: Annabelle: Creation | Release Date: 2017-08-03 | Overview: Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle. | Directors: David F. Sandberg | Cast: Stephanie Sigman, Talitha Eliana Bateman, Lulu Wilson, Anthony LaPaglia, Miranda Otto | Genres: Horror | Production Companies: Atomic Monster, New Line Cinema, The Safran Company, RatPac Entertainment | Production Countries: US"
316,"Title: The Last Word | Release Date: 2017-03-03 | Overview: A retired businesswoman – who tries to control everything around her – decides to write her own obituary. A young journalist takes up the task of finding out the truth, and the result is a life-altering friendship. | Directors: Mark Pellington | Cast: Shirley MacLaine, Amanda Seyfried, Anne Heche, Thomas Sadoski, Philip Baker Hall | Genres: Comedy, Drama | Production Companies: Franklin Street, Myriad Pictures, Parkside Pictures, Wondros | Production Countries: US"
