title,release_date,imdb_id,tmdb_id,overview,origin_country,popularity,runtime,vote_average,vote_count,directors,directors_id,directors_popularity,cast_top5,cast_top5_id,cast_top5_popularity,genres,production_companies,production_companies_id,production_countries,audiAcc
Girl Who Dreams About Time,2023-01-11,tt22873252,956720,"Sujin and her grandmother are shamans living in the mountains. It is their important daily routine to offer purified water to gods and tell a fortune for troubled hearts. During high school, Sujin works hard to go to college with hopes of escaping her fate and living a normal life. But the excitement of busy college life deepens her conflict with her grandmother.",KR,0.1473,111,0.0,0,Park Hyuck-jee,1939598,0.0261,,,,Documentary,"Jeonju International Film Festival, Hiharbor Pictures, M-Line Distribution","34217, 141002, 48320",KR,7328
Phantom,2023-01-18,tt25503544,715253,"In 1933, when Korea was under Japanese occupation, five people in Gyeongseong are suspected to be ""Phantom"" spies of the anti-Japanese organization.",KR,2.5008,132,6.7,47,Lee Hae-young,1293710,0.7486,"Sul Kyung-gu, Lee Ha-nee, Park So-dam, Park Hae-soo, Seo Hyun-woo","85008, 1364528, 1442583, 1593672, 1591370","1.7054, 1.4558, 3.4886, 1.7575, 1.5888","Action, Thriller, Crime","The LAMP, CJ Entertainment","92012, 7036",KR,624452
The Point Men,2023-01-18,tt21111120,606400,"A group of Korean tourists is taken hostage by an extremist Taliban group in Afghanistan. The Korean government dispatches Jae-ho, known as one of Korea's most skilled diplomats, in order to handle the situation. Once he arrives, he asks for the Afghan government's cooperation and uses every means possible to free the hostages. However, his efforts go in vain. Due to his failure, he's forced to work with Dae-sik, a special agent who is an expert on the Middle East. As they begin making their move to get to the Taliban, the first hostage death occurs. With nowhere else to turn, the two become unlikely allies in a race against time to save the rest of the hostages.",KR,2.56,108,5.8,53,Yim Soon-rye,120643,1.1197,"Hwang Jung-min, Hyun Bin, Kang Ki-young, Lee Seung-cheol, Jeong Jae-seong","68903, 544107, 1648169, 2887189, 3005649","3.2284, 1.7365, 1.5436, 0.1279, 1.5314","Action, Thriller, Drama","Plus M Entertainment, Watermelon Pictures, One Take Film","91505, 36633, 59814",KR,1644332
Carrie and Superkola,2023-01-19,tt24066788,1064734,"My friend 'Cola' has a superpower... ?. The alien 'Master', who was being chased by the space villain 'Spector', accidentally makes an emergency landing on Earth and gets into the body of 'Kola', the most precious doll of 'Carrie'. 'Super Kola' became Carrie's one and only secret friend, thanks to her psychic ability to move objects freely. But the peace is short-lived. Due to the excessive use of superpowers, 'Super Cola' caught on the radar of the 'Spector' gang and is eventually captured by the villain's spacecraft. Brave Carrie's Super Power Kola Rescue Operation.",KR,0.0664,79,0.0,0,Lee Choon-baek,1740338,0.0256,,,,Animation,,,KR,87211
BTS: Yet to Come in Cinemas,2023-02-01,tt24807190,1063453,"Join RM, Jin, SUGA, j-hope, Jimin, V and Jung Kook in this special cinematic cut, re-edited and remixed for the big screen. Watch new close-up angles and a whole new view of the entire concert, BTS Yet To Come in Busan. Featuring hit songs from across the group's career, including ""Dynamite,"" ""Butter"" and “IDOL,"" plus the first concert performance of ""Run BTS"" from the group’s latest album Proof.",KR,2.0733,103,8.317,104,Oh Yoon-dong,3140690,0.5494,"RM, Jin, Suga, j-hope, Jimin","1544084, 1544088, 1544086, 1544090, 1544092","1.4581, 2.1598, 1.3997, 1.4689, 1.6449","Music, Documentary","Big Hit Entertainment, CJ 4DFLEX, HYBE, ScreenX Studio","86824, 147778, 170163, 210725",KR,77180
Marui Video,2023-02-01,tt26679073,977155,"The video evidence of the murder, which is especially brutal and graphic, that shouldn't be released to the public; a reporter who has access to the prosecutor's office hears about a cursed tape in the video archive and begins reporting on it.",KR,1.4944,87,6.0,22,Yun Jun-hyung,1632457,0.0214,"Seo Hyun-woo, Jo Min-kyoung, Ahn Hyun-bin, An Min-young, Jang Se-won","1591370, 2053095, 3216021, 1696022, 2888653","1.5888, 0.0168, 0.1198, 0.5016, 0.1553","Mystery, Horror, Thriller",CJ CGV,128333,KR,153522
Duda Dada The Secret of HooHoo Island,2023-02-15,,1066297,"In many fairy tales, young protagonists grow up without parents, and this includes Duda. Duda and his friends decide to go on an adventure to the secret HooHoo Island to find Duda's mom. On the way, a dragon attacks them in the Snow Rabbit Forest, Duda and friends are separated, and Pinkar breaks down. Time is ticking fast, and the magical flower which is one of the keys to enter the island is wilting. Will Duda and friends reach the island in time?",KR,0.0297,83,0.0,0,,,,,,,Animation,,,,104055
Countdown,2023-02-22,tt26351494,644893,A former medalist who is now a troublemaker physical educations teacher and a natural born rebel take a satisfying whack at life.,KR,2.0694,109,6.1,7,Kwon Hyeok-jae,146865,0.7448,"Jin Sun-kyu, Sung Yu-been, Oh Na-ra, Ko Chang-seok, Jang Dong-ju","1989290, 1520280, 1349163, 150697, 2485939","1.3675, 1.2436, 2.1051, 1.4737, 0.8589","Drama, Comedy","filmK, 26 Company","112927, 97992",KR,383399
IM HERO The Final,2023-03-01,tt27077063,1087290,"In the winter of 2022, Lim Young-woong's encore concert 'IM HERO' heated up the atmosphere at Gocheok Sky Dome. To replicate the touching experience of the epic finale, IM HERO THE FINAL will come to cinemas on ScreenX in 2023 to meet the audience. ""It feels like I have become the protagonist of The Truman Show."" Even though he says he feels like he's on The Truman Show, in his 'real life' Lim Young-woong gives his best to his fandom ‘Hero Generation’ at every moment. His candid interviews and exclusive backstage stories from the national tour will be seen for the first time only on the film.",KR,0.1583,102,0.0,0,Oh Yoon-dong,3140690,0.5494,Lim Young-woong,2822437,0.6876,"Documentary, Music","CJ 4DFLEX, ScreenX Studio","147778, 210725",KR,216330
The Devil's Deal,2023-03-01,tt15089904,640327,"Hae-woong, an assembly member candidate, is taken out of the running because he became a thorn in the side of a local bigwig, Sun-tae. Hounded by loan sharks, due to defaulting a campaign loan, he decides to get his hands dirty. He steals classified government’s information about an urban development plan and obtains the help of a local gang leader, Pil-do, by promising hefty real estate profit. Now Hae-woong re-enters the race and tries to take revenge on Sun-tae. Unbeknownst to him, his messy journey through politics has only just begun.",KR,2.1337,116,6.0,27,Lee Won-tae,1910480,0.1288,"Cho Jin-woong, Lee Sung-min, Kim Moo-yul, Won Hyun-jun, Kim Min-jae","138336, 141548, 84788, 2240619, 573792","1.7999, 1.7208, 3.0347, 0.2501, 1.7536","Crime, Thriller, Drama","Plus M Entertainment, BA Entertainment, Twinfilm","91505, 84678, 192375",KR,747662
My Heart Puppy,2023-03-01,tt24218390,610249,"Min-soo is about to get married when his fiancée suddenly admits that she is allergic to dogs. Now the guy's best friend, the golden retriever Rooney, needs a new family. With the help of his cousin and social media, Min-soo starts looking for a new home for Rooney.",KR,2.327,114,6.3,19,Jason Kim,1410322,0.6979,"Yoo Yeon-seok, Cha Tae-hyun, Ryu Soo-young, Jung Ji-hoon, Lee Seung-hee","587675, 63442, 1254390, 2097275, 2391356","2.8447, 2.067, 1.1968, 1.1298, 0.1228","Romance, Comedy, Drama, Family","Yworks Entertainment, Don Quixote Entertainment, STUDIO706, Kidari Studio","135753, 140989, 194623, 194661",KR,162767
Soulmate,2023-03-15,tt13086130,617882,"Mi-so and Ha-eun meet in elementary school and quickly become best friends. In high school, Ha-eun meets Jin-woo and starts to have feelings for him, but he starts to have feelings for Mi-so. When they all meet again as adults, they are very different people, but they try to remember what friendship is really about.",KR,6.3721,124,7.8,70,Min Yong-keun,587672,0.1873,"Kim Da-mi, Jeon So-nee, Byeon Woo-seok, Jang Hye-jin, Park Choong-seon","2053219, 2104287, 2117890, 2158882, 129973","4.5011, 1.348, 2.2726, 1.5198, 0.739","Drama, Romance","Studio & New, Climax Studios, ANDMARQ Studio, KEYEAST","106996, 127541, 145236, 15975",KR,224286
Woongnami,2023-03-22,tt26599543,995063,"The bear man who was once a bear become human by eating garlic and mugwort for 100 days. One day, after retirement as a policeman, a terrorist brings the deadly virus and he looks exactly the same as the bear man! With help of a detective and Youtuber, he tries to save the world now.",KR,1.6541,98,5.9,9,Park Sung-kwang,1883920,0.7336,"Park Sung-woong, Lee Yi-kyung, Yeom Hye-ran, Oh Dal-su, Choi Min-soo","139493, 1330446, 2084416, 77188, 127798","2.1636, 2.3, 1.8972, 1.4342, 1.4659","Comedy, Action",A Kimchi Movie Production,88684,KR,301617
Running Man: Revengers,2023-04-04,tt13429168,1095932,"On the eve of the annual Running Man competition, the players race against one another through a series of challenges to obtain the ‘Super Belt,’ a legendary item which make its wearer absolute ruler of the world.",KR,1.0154,75,6.0,1,"Uhm Young Sik, Kim DaHee","2519593, 4137831","0.0214, 0.068","Kim Seo-young, Um Sang-hyun, Kwon Chang-uk, Kim Yeon-woo, Kang Shi-hyun","1227352, 1648983, 3298948, 3244117, 2720927","0.6413, 0.7443, 0.3003, 0.5175, 0.5768","Animation, Science Fiction, Action","Sidus Animation, LOCUS Corporation","203205, 121669",KR,47099
Rebound,2023-04-05,tt27002199,936243,"This true story retells the incredible tale of the 2012 National High School Basketball Championship, in which a new coach and six players from the weakest basketball team ran nonstop for eight days.",KR,1.9767,122,7.3,13,Jang Hang-jun,1771406,1.4853,"Ahn Jae-hong, Lee Sin-young, Jeong Jin-woon, Kim Taek, Jung Gun-joo","1164507, 2526745, 1347519, 3643833, 2333292","1.285, 1.344, 0.9534, 0.4076, 0.6982",Drama,"BA Entertainment, Walkhouse Company","84678, 179697",KR,617418
Killing Romance,2023-04-14,tt27304839,746349,"Hwang Yeo-rae, a once-popular actress, faces a turbulent marriage and yearns for her old career. When she moves in next to Kim Beom-woo, her biggest fan, a desperate plan to regain her freedom and revive her career unfolds.",KR,2.61,107,6.4,17,Lee Won-suk,1293617,0.6599,"Lee Ha-nee, Lee Sun-kyun, Gong Myoung, Bae Yu-ram, Andrew Bishop","1364528, 115290, 1333031, 1988490, 3963630","1.4558, 1.8164, 1.5054, 1.1595, 0.0311","Thriller, Comedy","Rear Window, Lotte Entertainment, Warner Bros. Korea, SHOTCAKE","122308, 7819, 103747, 196805",KR,178959
The Ghost Station,2023-04-19,tt22505124,844386,Reporter Na-yeong and her partner investigate a series of mysterious deaths and a perplexing case where her source was allegedly already dead at the time of their interview. Together they end up confronting a terrifying truth.,KR,1.8878,80,6.367,50,Jeong Yong-ki,583175,0.5744,"Kim Bo-ra, Kim Jae-hyun, Shin So-yul, Oh Jin-seok, Kim Kang-il","1200384, 2144177, 1029157, 3979702, 1674539","1.3764, 0.3133, 1.0899, 0.2272, 0.4231","Horror, Mystery","Smile Ent., Zoa Films, Mystery Pictures","112409, 82604, 203392","KR, JP",229275
Armored Saurus: Invasion of the Mechanical Dinosaur Empire,2023-04-20,,1105704,,KR,0.1598,85,0.0,0,,,,,,,Animation,,,,6333
Dream,2023-04-26,tt13814704,636173,"With hard work and dedication on lock, a group of homeless men trains to compete in a global tournament — despite a cranky coach.",KR,3.7159,127,6.929,113,Lee Byeong-heon,1456792,1.1189,"Park Seo-jun, IU, Kim Jong-soo, Ko Chang-seok, Jung Seung-kil","1347525, 1252318, 1295417, 150697, 1420814","2.4662, 3.6474, 1.6122, 1.4737, 0.9502","Comedy, Drama","October Cinema, No Brake Film, Plus M Entertainment, Blue Danube Films","201026, 223563, 91505, 250304","KR, HU",1088338
Face that face,2023-04-28,,1107065,A man who has lived as an ordinary father and husband finally tries to find his authentic self in his twilight years.,KR,0.3305,18,0.0,0,Park Jung-hun,1482970,0.4559,Gi Ju-bong,64454,1.1899,Drama,,,KR,136793
"뮤지컬 공연실황, 알쏭달쏭 캐치! 티니핑 <신비한 상자를 열어라!>",2023-05-03,,1123619,,KR,0.0,0,0.0,0,,,,,,,,,,KR,7776
This is the President,2023-05-10,tt27641839,1111319,"Why did Moon Jae-in, a human rights lawyer who hated politics, become president? During five years at the Blue House, why didn’t he use his power? Why did he just silently plant flowers while being sworn at by protesters? One by one, those who watched him reveal their hidden stories.",KR,0.379,115,8.7,3,Lee Chang-jae,1522848,0.1639,"Moon Jae-in, Kim Jung-sook, Park Ji-won, Kang Kyung-hwa, Im Jong-seok","2189100, 4061400, 2524753, 2693615, 4040849","0.7419, 0.1388, 0.2969, 0.0218, 0.0866",Documentary,"Dice Film, Jeonju International Film Festival","105754, 34217",KR,108278
Long D,2023-05-10,,840612,"As Tae-in moved away suddenly, Do-ha embarked on a long-distance relationship that certainly wasn't planned. Although they talk to each other daily and constantly through KakaoTalk and video chat, they all never enough in fully expressing his love for her. So he secretly plans to propose to her. But for some reason, Tae-in contacts him less and less often. Do-ha feels his trust and confidence in their love breaking down slowly...",KR,1.5688,101,6.0,2,Lim Jae-wan,3125622,0.0143,"Jang Dong-yoon, Park You-na, Ko Gun-han, Lee Si-woo, Jeon Hye-yeon","1713025, 2175208, 2125943, 3901565, 3132669","1.8417, 1.2609, 1.0709, 1.1073, 0.4619","Romance, Comedy","12 journey, Bazelevs Production","145260, 1038",KR,30183
Dream Palace,2023-05-31,tt22529808,971794,"Hyejung has lost her husband in an industrial accident and adds the settlement money to move into the new apartment called Dream Palace. She belatedly learns that the apartments are in an unsold state and have defects, but the residents who are worried that housing prices will fall try to silence Hyejung, who is protesting. Hyejung, who left the labor protest site in compromise with reality, has no choice but to start another protest to protect the apartment she bought at the cost of her husband′s life.",KR,1.6269,112,8.0,1,Ka Sung-moon,3537102,0.0,"Kim Sun-young, Lee Yoon-ji, Choi Min-yeong, Lee Dae-yeon, Kim Tae-hun","1352930, 1233841, 3495015, 39258, 552067","1.701, 0.9128, 1.6193, 1.3667, 1.5826",Drama,Indiestory,45370,KR,3429
The Roundup: No Way Out,2023-05-31,tt21364552,955555,"Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.",KR,8.7692,105,7.182,478,Lee Sang-yong,2376041,0.7433,"Don Lee, Lee Jun-hyuk, Munetaka Aoki, Lee Beom-soo, Kim Min-jae","1024395, 1254630, 111640, 86330, 573792","6.4738, 1.5342, 1.3377, 1.6499, 1.7536","Action, Crime, Comedy, Thriller, Drama","Big Punch Pictures, Hong Film, BA Entertainment","129217, 96989, 84678",KR,9077404
The Summer,2023-06-07,tt28077172,1117291,"Life in the countryside is quiet and mundane for bookish Yi-gyeong until an errant ball sends star athlete Su-yi crashing into her life. The connection between the two girls is instantaneous, and simmers until their mutual attraction bubbles up into love. But just as their feelings for each other start to make sense, Yi-gyeong’s ambitions for her future carry the couple into uncharted territory.",KR,0.4615,61,6.6,5,Han Ji-won,1852026,0.5904,"Yoon Ah-young, Song Ha-rim, Lee Da-seul, Jang Mi, Lee Gyu-chang","1756186, 4024068, 4161155, 4088702, 1584816","0.6853, 0.2203, 0.0286, 0.1533, 0.1179","Animation, Romance",Red Dog Culture House,176892,KR,3822
Unintentional Love Story Special,2023-06-14,,1139160,"Intentional start, love 'non-intentional!' A trust-recovering, heart-thumping romance drama that tells the story of two men who fall in real love after a relationship that started out as a lie.",KR,0.475,121,0.0,0,Jang Eui-soon,3169133,0.0239,"Cha Seo-won, Gongchan, Won Tae-min, Han Do-woo","2207537, 1890307, 2959215, 3933497","0.5529, 0.2754, 0.879, 0.1934","Drama, Romance",Number 3 Pictures,154304,KR,3640
SUGA: Road to D-DAY,2023-06-16,tt27410896,1106732,"SUGA of the world-renowned group, BTS, works on a new album. He embarks on a journey to find his story to tell through music, while interacting with artists from various cities around the world.",KR,0.4278,81,8.0,10,Park Jun-soo,2042738,0.2062,"Suga, Halsey, Steve Aoki, Anderson .Paak, IU","1544086, 1997030, 1101349, 1708542, 1252318","1.3997, 0.7382, 0.3407, 0.3584, 3.6474","Documentary, Music","Big Hit Entertainment, HYBE","86824, 170163",KR,3757
MAMAMOO: My Con the Movie,2023-06-21,tt28230511,1137172,"Join K-pop's vocal powerhouse as they embark on their first world tour. Idols Solar, Moon Byul, Whee In, and Hwa Sa invite you on their journey. Witness their captivating vocals and dynamic performances, then delve into their personal and heartfelt stories like never before, offering a rare glimpse behind the scenes. Beginning with the MAMAMOO WORLD TOUR ""MY CON"" - SEOUL, the group's story unfolds.",KR,0.2658,124,8.0,1,Lim Jae-kyung,4100888,0.0492,"Solar, Moonbyul, Wheein, Hwasa","1539326, 1662816, 1662817, 2332076","0.8936, 0.8064, 0.7829, 0.9421","Documentary, Music","Dream Engine Studio, RBW Inc.","201665, 201668",KR,617
The Childe,2023-06-21,tt27534328,1057001,"Han, a Filipino-Korean boxer hits the final punch against his opponent at an illegal game and returns home with a few dollars to pay for his mother's surgery.",KR,4.0738,118,7.145,166,Park Hoon-jung,557736,1.4488,"Kim Seon-ho, Kang Tae-ju, Kim Kang-woo, Go Ara, Jung Lael","1863349, 3053741, 84751, 1091050, 3595106","5.689, 0.5448, 1.4971, 1.9387, 0.6885","Action, Thriller, Drama","Next Entertainment World, Goldmoon Film, Studio & New","20064, 128397, 106996",KR,673368
Sura: A Love Song,2023-06-21,,1021797,"After quitting filmmaking about the tidal flat that underwent Saemangeum Seawall Project a few years ago, she moved to Gunsan-si, a city of Saemangeum, as she seemed destined to. Sura: A Love Song delivers the course of rediscovering the beauty of the tidal flat working together with the Citizens’ Survey Group on Saemangeum that has continued its research for nearly twenty years.",KR,0.2597,99,5.0,1,Hwang Yoon,1851185,0.0598,"Hwang Yoon, Oh Dong-pil, Oh Seung-jun, Jeong Hee-jeong","1851185, 4120024, 4120026, 4120027","0.0598, 0.0214, 0.0071, 0.0143",Documentary,"Studio DUMA, MediaNamu Inc.","202515, 202516",KR,21721
2022 YOUNGTAK Concert : The Movie,2023-06-28,,1139578,,KR,0.1733,133,0.0,0,Song Seung-yeon,4112688,0.0214,Park Young-tak,2822438,0.3185,"Documentary, Music","Live Nation Korea, S27 Entertainment, CJ CGV","202253, 202252, 128333",KR,36142
My Worst Neighbor,2023-07-05,tt26736481,1005533,"Seung-jin, who is preparing for an audition to pursue his ambition of becoming a singer, moves into a new studio apartment. On the first night, as he just started to settle in, he hears a woman wailing from next door. With all the noise she makes owing to her badly soundproofed room, La-ni has driven away several neighbors. Seung-jin isn't one to back down easily. Their argument intensifies to the point that they have discovered everything about one other's life through their noises save for their names and faces.",KR,1.4545,112,6.1,10,Lee Woo-chul,557415,0.0533,"Lee Ji-hoon, Han Seung-yeon, Ko Kyu-phil, Kim Yoon-sung, Lee Yoo-jun","1690348, 1122532, 1574622, 552570, 1336802","0.9285, 1.0197, 1.6424, 0.2192, 0.8627","Romance, Comedy",Galleon Entertainment,202874,KR,20967
Devils,2023-07-05,tt27801630,952476,"Having lost his colleague who was also his brother-in-law to a serial murderer two years ago, homicide detective Jae Hwan is unable to contain his hatred toward the murderer and dives headfirst into hunting the brutal killer. Jae Hwan finally comes face to face with the murderer Jin Hyuk but in the heat of the chase, they get into an accident. Waking up in a hospital, Jae Hwan realizes his body has been switched with that of the murderer. To protect his family and uncover the secret of this body switch, Jae Hwan begins a desperate chase.",KR,1.8447,105,5.5,24,Kim Jae-hoon,3137399,0.1958,"Jang Dong-yoon, Oh Dae-hwan, Jang Jae-ho, Choi Gwi-hwa, Son Jong-hak","1713025, 1856377, 223323, 1418581, 1333030","1.8417, 1.4905, 0.7015, 0.9356, 1.3845","Thriller, Crime, Fantasy","Contents G, The Contents On","162275, 113586",KR,77788
I Haven’t Done Anything,2023-07-12,tt23622954,999824,"Oh Tae-kyung, once an up-and-coming actor, starts a YouTube channel. He starts to produce content where he grants people's wishes, borrowing a concept from the movie “Oldboy”.",KR,0.9284,81,6.0,1,Park Sang-min,3623732,0.1095,"Oh Tae-kyung, Kim Jae-heung, Park Chan-wook, Moon So-ri, Joon Park","77183, 1274618, 10099, 83122, 78323","0.9882, 0.2135, 2.5179, 2.0383, 1.2301",Comedy,Studio Up,140993,KR,9779
The Hill of Secrets,2023-07-12,tt17080040,927035,"Myung-eun can't comprehend the word ""family"". She wishes to keep it a secret because she is so different from what she would like to be. When it comes to writing, on the other hand, she does not allow herself to be restricted by reality.",KR,0.8521,122,7.0,7,Lee Ji-eun,3382551,0.0143,"Moon Seung-ah, Jang Sun, Kang Gil-woo, Jang Jae-hee, Lim Sun-woo","2309873, 1927386, 2255388, 2720756, 2284720","0.4753, 0.205, 1.1391, 0.1103, 0.3032",Drama,Ohspring Film,169114,KR,2647
Super Wings: Maximum Speed,2023-07-20,tt28554423,1148189,"In a world where toys have become unpopular, villain Billy Willy sets up a terrifying plot to kidnap YouTubers and blow them into space. One million YouTuber Da-in goes out to find Billy Willy with fastest aircraft Sky to save her kidnapped mother! Can Sky save the Earth with Maximum Speed?",KR,1.5103,89,6.0,8,"Xiaoqing Cai, Cai Dongqing","5305590, 3253023","0.0071, 0.2135","Moon Nam-sook, Hong So-young, Chang Eun-sook, Jeon Tae-yeol, Jeong Yeong-wung","2078564, 1577669, 3360958, 1831726, 4694733","0.1207, 0.7823, 0.1839, 0.6377, 0.1245","Animation, Family, Adventure","FunnyFlux Entertainment, Alpha Group, Next Entertainment World","130472, 130779, 20064","CN, KR",120118
Pinkfong Sing-Along Movie 3: Catch the Gingerbread Man,2023-07-26,tt28367427,1144610,"Join Baby Shark, Pinkfong, and Hogi in their exciting new adventure as they set out to create the most delicious ice cream in the world. Just before the final touch, the perfect topping, Gingerbread Man dashes away.",KR,0.6404,65,0.0,0,"Byeon Hee-sun, Jeong Ji-eun, Im Da-yeong, Baek So-hyeon","2934512, 4871902, 4871901, 4871904","0.0071, 0.0214, 0.0143, 0.0071","Jo Kyoung-i, Lee So-eun, Park Yo-han, Kim Sae-hae, Jang Ye-na","2934513, 3626293, 4163352, 4024067, 3355025","0.6416, 0.3272, 0.1046, 0.126, 0.5304","Animation, Family, Music",The Pinkfong Company,145777,KR,31534
Smugglers,2023-07-26,tt28106766,783110,"During the 1970s, in Kunchon, there were women divers who were able to dive without equipment, including two best friends Choon-ja and Jin-sook, Jin-sook's brother and Hammer. They always collected seafood under water for living. But, as fewer factories started to be built near the beach, the women divers started to have trouble with what they were doing for living. Without any choice, the ship crews decided to join the smuggling business in the water to seek a way for their living. But the smuggling business in their village got too big for Jin-sook's family to handle and the peaceful village was gradually broken.",KR,4.9263,129,6.6,56,Ryoo Seung-wan,86325,1.0502,"Kim Hye-soo, Yum Jung-ah, Zo In-sung, Park Jeong-min, Kim Jong-soo","146245, 37939, 127564, 571172, 1295417","2.2675, 1.8186, 1.6795, 1.6956, 1.6122","Crime, Action",Filmmaker R&K,12987,KR,4569819
The Moon,2023-08-02,tt27688034,753091,"In 2029, Korea's lunar probe Woori embarks on a historic journey to the moon, capturing global attention.",KR,2.7457,129,6.6,176,Kim Yong-hwa,84969,1.0944,"Sul Kyung-gu, Doh Kyung-soo, Kim Hee-ae, Park Byung-eun, Cho Han-cheul","85008, 1470219, 1304595, 564844, 1203792","1.7054, 1.3941, 1.6169, 2.3364, 2.3085","Drama, Adventure, Science Fiction","Blaad Studios, CJ ENM Studios, NaruN, Cinema Plus, Dexter Studios, CJ Entertainment","147142, 199265, 223561, 223562, 103323, 7036",KR,495836
Ransomed,2023-08-02,tt27795356,581395,"In Beirut 1986, during the Lebanese civil war a Korean diplomat is taken hostage without a trace. Two years pass and long forgotten, a young diplomat Min-jun receives a phone call proving that the hostage is still alive. With the given mission, Min-jun is sent to Beirut to save the hostage with a bag of ransom money.",KR,2.2119,132,6.8,36,Kim Seong-hun,1135240,0.9665,"Ha Jung-woo, Ju Ji-hoon, Lim Hyung-kook, Kim Eung-soo, Kim Jong-soo","75913, 150125, 125732, 147852, 1295417","1.9317, 3.254, 0.8796, 1.6017, 1.6122","Drama, Thriller","Wind Up Film, Why Not Film","126641, 202695",KR,1045179
Concrete Utopia,2023-08-09,tt13086266,729854,"The world has been reduced to rubble by a massive earthquake. While no one knows for sure how far the ruins stretch, or what the cause of the earthquake may be, in the heart of Seoul there is only one apartment building left standing. It is called Hwang Gung Apartments. As time passes, outsiders start coming in to Hwang Gung Apartments trying to escape the extreme cold. Before long, the apartment residents are unable to cope with the increasing numbers. Feeling a threat to their very survival, the residents enact a special measure.",KR,4.2574,130,6.968,253,Um Tae-hwa,1576066,0.6861,"Lee Byung-hun, Park Seo-jun, Park Bo-young, Kim Sun-young, Kim Do-yoon","25002, 1347525, 83036, 1352930, 1793046","6.1602, 2.4662, 4.4605, 1.701, 0.9311","Thriller, Science Fiction, Adventure, Action","Climax Studios, BH Entertainment, Lotte Entertainment","127541, 142033, 7819",KR,3374931
Honeysweet,2023-08-15,tt28625660,978202,"Chi-ho, a genius confectionery researcher who has developed addictive flavors, experiences a sweet change when he meets Il-yeong, a call center worker at a loan screening company who thinks optimistically about everything, and goes through sweet changes.",KR,1.4326,118,6.0,15,Lee Han,83030,0.8562,"Yoo Hai-jin, Kim Hee-seon, Cha In-pyo, Jin Sun-kyu, Han Seon-hwa","84996, 70688, 142425, 1989290, 1258626","1.8314, 2.4286, 1.2928, 1.3675, 1.2023","Comedy, Romance",Movierock,112531,KR,1135019
A Man of Reason,2023-08-15,tt21387514,656156,"After spending a decade in prison, a hitman learns that he has a daughter and just wants a chance at a normal life. But his former mob boss wants him back at any cost, sending merciless assassins after him.",KR,3.4228,99,6.7,89,Jung Woo-sung,17120,2.0521,"Jung Woo-sung, Kim Nam-gil, Park Sung-woong, Kim Jun-han, Park You-na","17120, 110388, 139493, 2054220, 2175208","2.0521, 1.5981, 2.1636, 1.0265, 1.2609","Action, Thriller, Drama","Acemaker Movieworks, Studio Take, Epic Pictures Group","113584, 136116, 7662",KR,124954
Body Parts,2023-08-30,tt28710841,987538,"Si-Kyung, the youngest reporter, infiltrates an unnamed religious group. Invited to a special ceremony, she witnesses strange things happening in the prayer house. Five sacrifices and five stories offered by the church members. When the story is over, she too must make a sacrifice.",KR,0.554,104,5.8,9,"Kim Jang-mi, Wally Seo, Lee Gwang-jin, Choe Won-kyung, Jeon Byeong-deok, G’sam","3607914, 3607916, 3607919, 3607923, 3607922, 3607917","0.0404, 0.0357, 0.0071, 0.0311, 0.0143, 0.0214","Kim Min-seok, Kim Chae-eun, Kwon Ah-reum, Han Sang-hyuk, Kang Joon-kyu","1256347, 1763211, 3288923, 1571552, 3851351","3.9347, 0.7275, 0.2449, 0.3278, 0.406",Horror,"Sidus, Studio dhL","3657, 207158",KR,53655
Don't Buy the Seller,2023-08-30,tt22507484,813079,"Soo-hyun, who has recently moved into a new house, buys a used washing machine through a second-hand app but finds out it doesn't work. Annoyed by the seller's irresponsibility, she leaves a comment calling the seller a con man, and reports it to the police. Little does she know that the seller is a psychopathic serial killer who uses an online second-hand market to lure his victims. Her comment renders his hunt for a new victim all but impossible so she becomes his next target. She starts receiving obscene phone calls, countless unwanted food deliveries, and strange men knocking on her door looking for a good time. A trip to the sender's address proves deadly serious when the police and Soo-hyun find a man's dead body.",KR,2.0134,101,6.8,59,Park Hee-kon,1720838,0.314,"Shin Hye-sun, Kim Sung-kyun, Kang Tae-oh, Lee Zoo-young, Lim Cheol-soo","1523579, 1024396, 1565392, 2042978, 2992836","2.5575, 1.8918, 3.2765, 1.1059, 1.1618","Thriller, Mystery, Crime",Studio Pieona,151964,KR,419065
Sleep,2023-09-06,tt8209702,964592,"Hyun-su and Soo-jin have just gotten married. Seemingly out of nowhere, he starts talking in his sleep. 'Someone’s inside.' From that night forward, whenever he falls asleep, he transforms into someone else with no recollection of the night before. Soo-jin is overwhelmed with anxiety that he’d hurt her family while she sleeps and can barely sleep a wink because of this irrational fear. Despite sleep treatment, Hyun-su’s sleepwalking only intensifies, and she begins to feel that her unborn child may be in danger...",KR,3.2632,95,6.7,186,Jason Yu,2919106,0.2091,"Jung Yu-mi, Lee Sun-kyun, Kim Guk-hee, Lee Kyung-jin, Yoon Kyung-ho","127720, 115290, 2003804, 1876417, 560081","2.1127, 1.8164, 0.7423, 0.6464, 1.7074","Horror, Mystery, Thriller","Lewis Pictures, Lotte Entertainment, BY4M Studio","62312, 7819, 175846",KR,1362238
