title,release_date,imdb_id,tmdb_id,overview,directors,cast_top5,genres,production_companies,production_countries
X-Rated: The Greatest Adult Movies of All Time,2015-02-06,tt4461838,324558,"The evolution of adult cinema through the most influential films in history, a journey that begins in the 1970s and ends nowadays. An in-depth analysis of the success of the most prestigious erotic films, their impact on industry and society, and their influence on cinema and contemporary culture.",Eli Cross,"Chanel Preston, Christy Canyon, Georgina Spelvin, Janine Lindemulder, Jenna Jameson",Documentary,"Showtime Networks, Plausible Films",US
Brimstone,2016-03-12,tt1895315,324560,"In the menacing inferno of the old North-American West, Liz is a genuine survivor who is hunted by a vengeful preacher for a crime she didn’t commit.",Martin Koolhoven,"Guy Pearce, Dakota Fanning, Carice van Houten, Kit Harington, Vera Vitali","Thriller, Western","Illusion Film, N279 Entertainment, FilmWave, Prime Time, X Filme Creative Pool, Backup Media, Film i Väst, Proton Cinema, New Sparta Films, Embankment Films, The Jokers Films, Canal+, Ciné+, Cine Tirol, Paradiso Filmed Entertainment","AT, BE, FR, DE, HU, NL, SE, GB"
The Tribes of Palos Verdes,2017-12-01,tt1507571,324562,"When the situation at her idyllic Palos Verdes home turns volatile, young Medina attempts to surf her way to happiness.","Brendan Malloy, Emmett Malloy","Maika Monroe, Jennifer Garner, Cody Fern, Justin Kirk, Noah Silver",Drama,"Relativity Media, The Mark Gordon Company",US
Jason Bourne,2016-07-27,tt4196776,324668,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel, Julia Stiles","Action, Thriller","The Kennedy/Marshall Company, Captivate Entertainment, Pearl Street Films, Perfect World Pictures","CN, US"
Spectral,2016-12-09,tt2106651,324670,A special-ops team is dispatched to fight supernatural beings that have taken over a European city.,Nic Mathieu,"James Badge Dale, Emily Mortimer, Gonzalo Menendez, Max Martini, Ryan Robbins","Science Fiction, Thriller, Action","Mid Atlantic Films, Legendary Pictures","HU, US"
Hacksaw Ridge,2016-10-07,tt2119532,324786,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey","Drama, History, War","Summit Entertainment, Pandemonium, Cross Creek Pictures, Permut Presentations, Vendian Entertainment, Argent Pictures, IM Global, AI Film, Bliss Media, Kylin Pictures, Cosmos Filmed Entertainment, Icon Productions","AU, GB, US, CN"
Hangman,2015-03-14,tt4441422,324803,"Returning from vacation, the Miller family find their home has been broken into. After cleaning up the mess they continue with their lives, shaking off the feeling of being violated. But little do they know the nightmare has just begun.",Adam Mason,"Jeremy Sisto, Kate Ashfield, Ty Simpkins, Ryan Simpkins, Amy Smart","Horror, Thriller",Hiding in the Attic,US
The Lego Batman Movie,2017-02-08,tt4116284,324849,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes, Zach Galifianakis","Animation, Action, Comedy, Family","Lin Pictures, Animal Logic, DC Entertainment, Lord Miller, Warner Bros. Pictures, LEGO, Warner Animation Group, RatPac Entertainment","AU, DK, US"
Despicable Me 3,2017-06-15,tt3469046,324852,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,"Kyle Balda, Pierre Coffin","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove, Dana Gaier","Action, Animation, Comedy, Family, Adventure","Illumination, Universal Pictures",US
Spider-Man: Into the Spider-Verse,2018-12-06,tt4633694,324857,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry","Animation, Action, Adventure, Science Fiction","Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions, Marvel Entertainment",US
Monster High: Haunted,2015-03-02,tt4137924,324963,"Lurk what's waiting for the Monster High ghouls when they bring their killer fashion to the howlways of the spooktacular Haunted High! When the ghouls of Monster High follow Spectra Vondergeist one day, they discover a creeperiffic Ghost World with an all-spirit school. But their scary-cute student bodies are hardly welcome with the very strict Principal Revenant, and she punishes Spectra with frightful detention chains that prevent her from re-joining Monster High. Now, it's up to the imperfectly perfect friends to take on ghostly forms in order to save one of their own from disappearing forever!","Dan Fraga, William Lau","Haviland Stillwell, Karen Strassman, Laura Bailey, America Young, Cam Clarke","Animation, Family, Fantasy","Mattel Playground Productions, Mattel, Nerd Corps Entertainment",US
A Bone to Pick: An Aurora Teagarden Mystery,2015-04-04,tt4200442,325078,"A librarian with a sharp mind for murder, Aurora Teagarden is known around her small town as a master  sleuth. When her friend Jane unexpectedly dies and leaves Aurora everything in her will, she also leaves a  troubling murder mystery haunting her neighborhood. It is up to Aurora to piece together the clues—including a  skull, its missing skeleton and a suspicious group of neighbors—and solve the murder before she becomes the  unlikely killer’s next victim.",Martin Wood,"Candace Cameron Bure, Lexa Doig, Marilu Henner, Peter Benson, Miranda Frigon","Mystery, Crime, Drama, TV Movie","Muse Entertainment, Lighthouse Pictures, iCandy Production, Head First Productions","CA, US"
A Girl Like Her,2015-03-27,tt2523832,325113,"Sophomore year has been a nightmare for Jessica Burns. Relentlessly harassed by her former friend Avery Keller, Jessica doesn't know what she did to deserve the abuse from one of South Brookdale High's most popular and beautiful students. But when a shocking event changes both of their lives, a documentary film crew, a hidden digital camera, and the attention of a reeling community begin to reveal the powerful truth about A Girl Like Her.",Amy S. Weber,"Hunter King, Lexi Ainsworth, Jimmy Bennett, Amy S. Weber, Stephanie Cotton",Drama,"Radish Creative Group, Bottom Line Entertainment, Almost Never Films",US
Neighbors 2: Sorority Rising,2016-05-04,tt4438848,325133,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,Nicholas Stoller,"Seth Rogen, Zac Efron, Rose Byrne, Chloë Grace Moretz, Dave Franco",Comedy,"Perfect World Pictures, Point Grey Pictures, Good Universe, Universal Pictures",US
Close Range,2015-11-19,tt3511596,325173,"A rogue soldier turned outlaw is thrust into a relentless fight with a corrupt sheriff, his obedient deputies, and a dangerous drug cartel in order to protect his sister and her young daughter.",Isaac Florentine,"Scott Adkins, Nick Chinlund, Caitlin Keats, Jake La Botz, Tony Perez","Action, Crime, Thriller","Entropy, Bleiberg Entertainment, Compound B, Underdogg Entertainment",US
Teen Beach 2,2015-06-26,tt3764966,325189,"When characters from the movie musical “Wet Side Story” get stuck in the real world, teens Brady and Mack must find a way to return them home.",Jeffrey Hornaday,"Ross Lynch, Maia Mitchell, Gracie Gillam, Garrett Clayton, John DeLuca","TV Movie, Family, Comedy, Fantasy",Rainforest Productions,US
They Look Like People,2016-02-26,tt4105970,325302,"Suspecting that people are transforming into malevolent shape-shifters, Wyatt flees to New York City to seek out his estranged childhood friend Christian.",Perry Blackshear,"MacLeod Andrews, Evan Dumouchel, Margaret Ying Drake, Mick Casale, Elena Greenlee","Drama, Horror, Mystery",They Look Like People,US
The Hollars,2016-08-25,tt3714720,325346,"Aspiring New York City artist John Hollar returns to his Middle America hometown on the eve of his mother’s brain surgery. Joined by his girlfriend, eight months pregnant with their first child, John is forced to navigate the crazy world he left behind.",John Krasinski,"John Krasinski, Margo Martindale, Richard Jenkins, Sharlto Copley, Anna Kendrick","Comedy, Drama, Romance","Sunday Night Productions, Sycamore Pictures, Groundswell Productions, Fancy Film Post Services",US
Hardcore Henry,2015-09-12,tt3072482,325348,"Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore Henry takes place over the course of one day, in Moscow, Russia.",Ilya Naishuller,"Andrey Dementyev, Sharlto Copley, Danila Kozlovsky, Haley Bennett, Tim Roth","Action, Adventure, Science Fiction","Bazelevs Production, Versus Pictures, Huayi Brothers Pictures","RU, US, CN"
Superfast!,2015-03-05,tt2933474,325358,"Undercover cop Lucas White joins Vin Serento's gang of illegal street racers. They are fast and they are furious and they plan to double cross Los Angeles kingpin Juan Carlos de la Sol, who hides his cash in a downtown Taco Bell.","Jason Friedberg, Aaron Seltzer","Alex Ashbaugh, Dale Pavinski, Andrea Navedo, Lili Mirojnick, Gonzalo Menendez","Comedy, Action","The Safran Company, 3 in the Box",US
Two Lovers and a Bear,2016-10-02,tt4412528,325373,"Set in a small town near the North Pole where roads lead to nowhere, the story follows Roman and Lucy, two burning souls who come together to make a leap for life and inner peace.",Kim Nguyen,"Dane DeHaan, Tatiana Maslany, Gordon Pinsent, John Ralston, Joel Gagne","Drama, Romance","JoBro Productions, Max Films",CA
Endless Poetry,2016-03-23,tt4451458,325385,"A portrait of Alejandro Jodorowsky’s young adulthood, set in the 1940s and 50s, in the electric capital city of Santiago. There, he decides to become a poet and is introduced, by destiny, into the foremost bohemian and artistic circle of the time.",Alejandro Jodorowsky,"Adan Jodorowsky, Brontis Jodorowsky, Pamela Flores, Leandro Taub, Alejandro Jodorowsky","Fantasy, Drama","Openvizor, Satori Films, Le Pacte, Le Soleil Films","GB, FR, JP, CL"
Cool Cat Saves the Kids,2015-02-01,tt2974050,325712,"Cool Cat is the coolest cat in town. All the kids love him. Except for the bully Butch, who hates Cool Cat for his coolness. He terrorizes Cool Cat, his friends and family with threats, taunting, and the internet. Can Cool Cat face his fears and defeat the bully Derrick?",Derek Savage,"Vivica A. Fox, Erik Estrada, Derek Savage, Connor Dean, Cynthia Rothrock","Comedy, Crime, Family",Cool Cat Productions,US
The Infiltrator,2016-07-13,tt1355631,325789,A U.S Customs official uncovers a massive money laundering scheme involving Pablo Escobar.,Brad Furman,"Bryan Cranston, Diane Kruger, John Leguizamo, Daniel Mays, Benjamin Bratt","Crime, Drama, Thriller",Good Films Collective,"GB, US"
Splitting Adam,2015-02-16,tt3712822,325813,"After accidentally stumbling into his uncle's mysterious ""tanning bed"", Adam learns the answer to all of his problems - multiple Adams. With his new collection of clones, Adam is hopping on one wild summer ride with an epic splash.",Scott McAboy,"Jace Norman, Jack Griffo, Isabela Merced, Seth Isaac Johnson, Qayam Devji","Comedy, Family, Science Fiction, TV Movie",,"CA, US"
Wiener-Dog,2016-06-24,tt4144190,326094,"A dachshund passes from oddball owner to oddball owner, whose radically dysfunctional lives are all impacted by the pooch.",Todd Solondz,"Ellen Burstyn, Kieran Culkin, Julie Delpy, Danny DeVito, Greta Gerwig","Comedy, Drama","Killer Films, Annapurna Pictures",US
Ooops! Noah Is Gone...,2015-03-26,tt3411432,326215,"It's the end of the world. A flood is coming. Luckily for Dave and his son Finny, a couple of clumsy Nestrians, an Ark has been built to save all animals. But as it turns out, Nestrians aren't allowed. Sneaking on board with the involuntary help of Hazel and her daughter Leah, two Grymps, they think they're safe. Until the curious kids fall off the Ark. Now Finny and Leah struggle to survive the flood and hungry predators and attempt to reach the top of a mountain, while Dave and Hazel must put aside their differences, turn the Ark around and save their kids. It's definitely not going to be smooth sailing.",Toby Genkel,"Callum Maloney, Dermot Magennis, Ava Connolly, Tara Flynn, Paul Tylak","Animation, Adventure, Comedy, Family","Moetion Films, Ulysses Filmproduktion, Fabrique d'images, Skyline Entertainment, Grid Animation, Studio Rakete","BE, DE, IE, LU"
Pound of Flesh,2015-05-07,tt3488328,326284,"In China to donate his kidney to his dying niece, former black-ops agent Deacon awakes the day before the operation to find he is the latest victim of organ theft. Stitched up and pissed-off, Deacon descends from his opulent hotel in search of his stolen kidney and carves a blood-soaked path through the darkest corners of the city. The clock is ticking for his niece and with each step he loses blood.",Ernie Barbarash,"Jean-Claude Van Damme, John Ralston, Aki Aleong, Charlotte Peters, Darren Shahlavi",Action,"Rodin Entertainment, Odyssey Media, Chunqiu Time Culture Co., Ace Film Company",CA
American Pastoral,2016-10-20,tt0376479,326285,"Set in postwar America, a man watches his seemingly perfect life fall apart as his daughter's new political affiliation threatens to destroy their family.",Ewan McGregor,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, David Strathairn, Peter Riegert","Crime, Drama","TIK Films, Lakeshore Entertainment, Lionsgate","HK, US"
Frozen Fever,2015-03-09,tt4007502,326359,"On Anna's birthday, Elsa and Kristoff are determined to give her the best celebration ever, but Elsa's icy powers may put more than just the party at risk.","Jennifer Lee, Chris Buck","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana","Animation, Family, Adventure, Comedy",Walt Disney Animation Studios,US
Barbershop: The Next Cut,2016-04-15,tt3628584,326423,"To survive harsh economic times, Calvin and Angie have merged the barbershop and beauty salon into one business. The days of male bonding are gone as Eddie and the crew must now contend with sassy female co-workers and spirited clientele. As the battle of the sexes rages on, a different kind of conflict has taken over Chicago. Crime and gangs are on the rise, leaving Calvin worried about the fate of his son. Together, the friends come up with a bold plan to take back their beloved neighborhood.",Malcolm D. Lee,"Ice Cube, Cedric the Entertainer, Regina Hall, Sean Patrick Thomas, Eve","Comedy, Drama","New Line Cinema, Cube Vision, Metro-Goldwyn-Mayer, Warner Bros. Pictures",US
Extraction,2015-12-18,tt4382872,326425,"When a former CIA operative is kidnapped by a group of terrorists, his son learns there is no plan for his father to be saved—so he launches his own rescue operation.",Steven C. Miller,"Bruce Willis, Gina Carano, Kellan Lutz, D. B. Sweeney, Dan Bilzerian","Action, Thriller","EFO Films, Aperture Entertainment, Twirly Films Limited, Ingenious Media, The Fyzz","GB, US"
Pernicious,2015-06-15,tt2187444,326441,It was supposed to be an adventure of a lifetime as three young girls spend the summer in Thailand. But their adventure quickly becomes a nightmare when the trio unleashes the spirit of a murdered child with only one thing on her mind - revenge.,James Cullen Bressack,"Ciara Hanna, Emily O'Brien, Jackie Moore, Byron Gibson, Russell Geoffrey Banks",Horror,"Benetone Hillin Entertainment, Hillin Entertainment, Benetone Films","TH, US"
Savageland,2015-11-01,tt3899154,326446,"When a small town near the Arizona-Mexico border is wiped out overnight, suspicion falls on the lone survivor. But a roll of photos the survivor took that night tells a different story.","David Whelan, Phil Guidry, Simon Herbert","Noe Montes, J.C. Carlos, Lawrence Moss, Edward L. Green, George Savage","Horror, Crime, Thriller",Massive Film Company,US
Aziz Ansari: Live at Madison Square Garden,2015-03-06,tt4530184,326665,"Ansari headlines the iconic Madison Square Garden and delivers his most hilarious and insightful stand-up yet. Filmed in front of a sold-out audience, Ansari's latest special is an uproarious document of the comic in top form -- covering topics ranging from the struggle of American immigrants to the food industry to relationships to gender inequality.",Aziz Ansari,Aziz Ansari,Comedy,,US
Babysitter's Black Book,2015-02-21,tt4234734,326923,"When her parents' financial problems threaten Ashley's dreams for college, the high school whiz kid takes matters into her own hands. She and her girlfriends turn their babysitting business into a wildly successful escort service for dads. But in this small suburban community, nothing stays secret for long.",Lee Friedlander,"Spencer Locke, Angeline Appel, Lorynn York, Steffani Brass, David Shatraw","Drama, TV Movie","Shadowland, Johnson Production Group",CA
The Gracefield Incident,2017-07-21,tt4464394,327253,"On August 16, 2013, the Supreme Court mandated the CIA to declassify files that had been kept secret for the past 75 years. Visual records of documented paranormal events were released to the public. The following incident took place in Gracefield, Quebec.",Mathieu Ratthe,"Alexandre Nachi, Mathieu Ratthe, Victor Andres Trelles Turgeon, Juliette Gosselin, Laurence Dauphinais","Horror, Science Fiction, Action, Mystery","Momentum Pictures, EuroVideo Medien GmbH, MVK","US, CA"
The Dirt,2019-03-22,tt0800325,327331,The story of Mötley Crüe and their rise from the Sunset Strip club scene of the early 1980s to superstardom.,Jeff Tremaine,"mgk, Douglas Booth, Daniel Webber, Iwan Rheon, Pete Davidson","Drama, Music, History, Comedy","10th Street Entertainment, Estrella Media, Gorilla Flicks",US
Batman Unlimited: Animal Instincts,2015-05-12,tt4437640,327418,"Gotham City is under siege by a series of bizarre crimes and only the world's greatest detective, Batman, can unravel the mystery! The trail leads to none other than the Penguin and his Animilitia, an animal-inspired squad of villains including Silverback, Cheetah, Killer Croc and the monstrous Man-Bat.",Butch Lukic,"Roger Craig Smith, Chris Diamantopoulos, Dana Snyder, Will Friedle, Charlie Schlatter","Action, Animation, Family","Warner Bros. Animation, DC Entertainment",US
Born to Be Blue,2015-09-13,tt2133196,327528,Jazz legend Chet Baker finds love and redemption when he stars in a movie about his own troubled life to mount a comeback.,Robert Budreau,"Ethan Hawke, Carmen Ejogo, Callum Keith Rennie, Stephen McHattie, Janet-Laine Green","Drama, Music","Lumanity Production, New Real Films, Hideaway Pictures, Productivity Media","CA, GB"
Bakuman,2015-10-03,tt3715854,327536,"Moritaka Mashiro doesn't want to follow in the path of his uncle who worked as a manga artist, but ultimately died because of exhaustion. Moritaka Mashiro figures he will graduate from school and work at an office. Things change though when falls in love with a girl at school. The girl, who hopes to become a voice actress, tells Moritaka they can marry, but only after they both achieve their dreams. Moritaka then teams up with fellow classmate Akito Takagi to publish their first manga.",Hitoshi One,"Takeru Satoh, Ryunosuke Kamiki, Nana Komatsu, Kenta Kiritani, Hirofumi Arai","Drama, Comedy","TOHO, Office Crescendo",JP
The Secret Life of Pets,2016-06-18,tt2709768,328111,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper","Adventure, Comedy, Animation, Family","Illumination, Universal Pictures",US
Nerve,2016-06-27,tt3531824,328387,"Industrious high school senior Vee Delmonico has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.","Ariel Schulman, Henry Joost","Emma Roberts, Dave Franco, Emily Meade, Miles Heizer, Juliette Lewis","Mystery, Adventure, Crime","Lionsgate, Allison Shearmur Productions, Keep Your Head Productions, TIK Films","HK, US"
The Gift,2015-07-31,tt4178092,328425,Simon and Robyn are a young married couple whose life is going as planned until a chance run-in with Simon's high school acquaintance sends their world into a tailspin.,Joel Edgerton,"Joel Edgerton, Rebecca Hall, Jason Bateman, Tim Griffin, Allison Tolman","Thriller, Mystery, Drama","Blumhouse Productions, Blue-Tongue Films, Ahimsa Films","AU, US"
Approaching the Unknown,2016-06-03,tt2674430,328429,"Captain William Stanaforth is on a one-way solo mission to take the first steps in colonising Mars. Like all pioneers throughout history, Stanaforth will face insurmountable odds and life and death decisions as he rockets bravely through space.",Mark Elijah Rosenberg,"Mark Strong, Luke Wilson, Sanaa Lathan, Anders Danielsen Lie, Charles Baker","Thriller, Drama, Science Fiction","Rooftop Films, 3311 Productions, Loveless, TideRock Films",US
Kept Woman,2015-02-28,tt3881700,328480,"Jessica and her fiancé Evan just moved from the city into their dream home on a quiet suburban street. Soon after, Jessica catches her seemingly friendly new neighbor, Simon, in a strange lie and can't let her suspicions rest. The danger escalates when Simon lures her inside his home and imprisons Jessica in his secret bunker, meticulously decorated in the idealized style of the 1950's.",Michel Poulette,"Courtney Ford, Shaun Benson, Andrew W. Walker, Rachel Wilson, Troy Blundell","Thriller, TV Movie, Mystery",Incendo Productions,CA
Parallels,2015-03-01,tt3479316,328595,An underground MMA fighter must confront his sister and his past in an adventure through parallel universes,Christopher Leone,"Mark Hapka, Jessica Rothe, Eric Jungmann, Constance Wu, Yorgo Constantine",Science Fiction,Fox Digital Studios,US
David and Goliath,2015-03-13,tt3962210,328739,"The big-budget, epic film on young King David who took on the mighty warrior Goliath against all odds.",Timothy A. Chey,"Miles Sloman, Jerry Sokolosky, Makenna Guyler, Paul Hughes, Joseph Emms","Action, Adventure, Drama, Fantasy","RiverRain Productions, Fallen State Films",US
"Murder, She Baked: A Chocolate Chip Cookie Mystery",2015-05-02,tt4621642,328848,"Based on the New York Times bestselling book, Chocolate Chip Cookie Murder by Joanne Fluke, the film will take viewers on a mouthwatering mystery that centers on Hannah Swensen, shop owner of the Cookie Jar where much of the town's gossip percolates along with the strong coffee. But when a mysterious murder occurs, Hannah turns into a culinary detective and finds herself trying to solve the crime while getting caught in an unexpected romantic mystery of her own.",Mark Jean,"Alison Sweeney, Cameron Mathison, Barbara Niven, Gabriel Hogan, Lisa Durupt","TV Movie, Mystery, Drama","Stephanie Germain Productions, Brad Krevoy Television, Swensen Productions, Front Street Pictures, Motion Picture Corporation of America","CA, US"
Meadowland,2015-10-16,tt3529656,328869,"In the hazy aftermath of an unimaginable loss, Sarah and Phil come unhinged, recklessly ignoring the repercussions.  Phil starts to lose sight of his morals as Sarah puts herself in increasingly dangerous situations, falling deeper into her own fever dream.",Reed Morano,"Olivia Wilde, Luke Wilson, Elisabeth Moss, Kevin Corrigan, Juno Temple",Drama,"Itaca Films, Bron Studios",US
The Benefactor,2015-12-23,tt3165630,328901,"A newly married couple are forced to navigate the all-consuming interest of a powerful, mysterious, and possessive philanthropist.",Andrew Renzi,"Richard Gere, Dakota Fanning, Theo James, Dylan Baker, Cheryl Hines",Drama,"Audax Films, Celerity Pictures, Follow Through Productions, Magnolia Entertainment, Soaring Flight Productions, TideRock Media, Treehouse Pictures",US
Emelie,2016-03-04,tt4503598,329010,"After their regular babysitter cancels, the Thompson family turns to her friend, Anna to supervise their children while the parents go out to celebrate their anniversary. At first Anna seems like a dream come true to the kids, allowing them to eat extra cookies and play with things that are usually off-limits, but as her behaviour becomes increasingly odd, the kids soon find out that her intentions are dark and twisted—and she is not who she seems to be.",Michael Thelin,"Sarah Bolger, Susan Pourfar, Chris Beetem, Joshua Rush, Thomas Bair","Horror, Thriller","Uncorked Productions, Sandbar Pictures",US
Ghoul,2015-02-26,tt3101132,329205,"GHOUL is a supernatural horror film involving the real life story of the Soviet Union's most violent serial killer, Andrei Chikatilo. Three Americans travel to the Ukraine to film a documentary about the cannibalism epidemic that swept through the country during the famine of 1932. After being lured deep into the Ukraine forest for an interview with one of the last known survivors, they quickly find themselves trapped in a supernatural hunting ground.",Petr Jákl,"Jennifer Armour, Jeremy Isabella, Paul S. Tracey, Alina Golovlyova, Inna Belikova","Thriller, Horror",JBJ Film,CZ
Always Watching: A Marble Hornets Story,2015-04-07,tt2737926,329289,"A small town news team discovers a box of videotapes wherein a faceless figure, dressed in a dark suit, haunts and torments a family...slowly driving them insane. Soon after, they realize that the 'Operator' has begun to stalk them as well.",James Moran,"Christopher Rodriguez Marquette, Alexandra Breckenridge, Jake McDorman, Doug Jones, Michael Bunin",Horror,"Good Universe, Mosaic Films, Institution Post",US
The Forest,2016-01-07,tt3387542,329440,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",Jason Zada,"Natalie Dormer, Eoin Macken, Stephanie Vogt, Osamu Tanpopo, Yasuo Tobishima","Horror, Thriller, Mystery","Lava Bear Films, AI Film, Phantom Four",US
The Marine 4: Moving Target,2015-04-10,tt3528666,329540,"WWE Superstar Mike ""The Miz"" Mizanin returns as Jake Carter where he is assigned to protect a whistleblower who wishes to expose a corrupt military defense contractor. However, the military hires a heavily armed team of mercenaries to kill her and it's up to Carter to stop them at any cost.",William Kaufman,"Mike Mizanin, Danielle Moinet, Atlin Mitchell, Melissa Roxburgh, Josh Blacker",Action,WWE Studios,US
Landmine Goes Click,2015-03-03,tt2186848,329556,"After an American tourist steps on a landmine, he is forced to watch his girlfriend get assaulted.",Levan Bakhia,"Sterling Knight, Spencer Locke, Dean Geyer, Kote Tolordava, Giorgi Tsaava","Action, Crime, Drama, Thriller","Scatena & Rosner Films, Sarke Studio, Imedi Films",GE
Raiders!: The Story of the Greatest Fan Film Ever Made,2015-03-14,tt3551954,329697,"In 1982, three 11 year-olds in Mississippi set out to remake their favorite film: Raiders of the Lost Ark. It took seven turbulent years that tested the limits of their friendship and nearly burned down their mother's house. By the end, they had completed every scene except one... the explosive airplane scene. 30 years later, they attempt to finally realize their childhood dream by building a replica of the 75 foot ""Flying Wing"" plane from Raiders in a mud pit in the backwoods of Mississippi... and then blow it up! This is the story behind the making of what is known as ""the greatest fan film ever made.""","Jeremy Coon, Tim Skousen","John Rhys-Davies, Eli Roth, Eric Zala, Chris Strompolos, Jayson Lamb",Documentary,Jeremy Coon Productions,US
(Dis)Honesty: The Truth About Lies,2015-05-22,tt2630898,329750,"Documentary exploring the human tendency to be dishonest. Inspired by the work of social scientist, Dan Ariely, the film interweaves personal stories, expert opinions, behavioral experiments, and archival footage to reveal how and why people lie.",Yael Melamede,Dan Ariely,Documentary,"Salty Features, CNBC, Fourth & Twenty8 Films",US
The Girl King,2015-12-11,tt1254322,329829,"A portrait of the brilliant, extravagant Kristina of Sweden, queen from age six, who fights the conservative forces that are against her ideas to modernize Sweden and who have no tolerance for her awakening sexuality.",Mika Kaurismäki,"Malin Buska, Sarah Gadon, Michael Nyqvist, Lucas Bryant, Laura Birn","Drama, History, Romance","Anagram Film, Starhaus Filmproduktion, Triptych Media, Marianna Films, Galafilm","CA, FI, FR, DE, SE"
Zoolander 2,2016-02-06,tt1608290,329833,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,Ben Stiller,"Ben Stiller, Owen Wilson, Will Ferrell, Penélope Cruz, Kristen Wiig","Comedy, Adventure, Action","Paramount Pictures, Red Hour, Scott Rudin Productions",US
Arrival,2016-11-10,tt2543164,329865,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien","Drama, Science Fiction, Mystery","FilmNation Entertainment, Lava Bear Films, 21 Laps Entertainment",US
Shut In,2016-11-11,tt2582500,329981,"A widowed child psychologist lives in an isolated existence in rural New England. When caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",Farren Blackburn,"Naomi Watts, Oliver Platt, David Cubitt, Jacob Tremblay, Charlie Heaton","Drama, Thriller","EuropaCorp, Lava Bear Films, Transfilm International, Screen Siren Pictures","CA, FR, US"
Dumbo,2019-03-27,tt3861390,329996,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Nico Parker","Family, Fantasy, Adventure","Tim Burton Productions, Walt Disney Pictures, Infinite Detective, Secret Machine Entertainment, British Film Commission, South Australian Film Corporation","AU, CA, GB, US"
Brothers,2015-08-14,tt3802576,330037,"David and Monty, estranged half-brothers, train in mixed martial arts to earn a livelihood. However, things change when the two are forced to compete against each other in the final tournament.",Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Shefali Shah","Action, Drama","Dharma Productions, Endemol Shine India, Lionsgate, Fox Star Studios, Fox International Productions India","IN, US"
